"domain","name","type","title","title_t"
"com.axelor.sale.db.OrderLine","order-line-grid","grid","Ordered Items","Articles"
"com.axelor.sale.db.ProductCategory","product-category-form","form","Product Category","Catégorie de produit"
"com.axelor.sale.db.ProductCategory","product-category-grid","grid","Product Categories","Catégories de produits"
"com.axelor.sale.db.Product","product-form","form","Product","Produit"
"com.axelor.sale.db.Product","product-grid","grid","Products","Produits"
,"sale-order-search","search","Sales Search","Recherche commande..."
"com.axelor.sale.db.Order","sales-timeline","calendar","Sales Timeline","Calendrier des ventes"
"com.axelor.sale.db.Tax","tax-form","form","Tax","Taxe"
"com.axelor.sale.db.Tax","tax-grid","grid","Taxes","Les Taxes"
"action-sale-order-validate","action-sale-order-validate","action","Create Date is in future.","Date de création supérieur à la date du jour"
"action-sale-order-validate","action-sale-order-validate","action","Order Date is in future.","Date de commande supérieur à la date du jour"
"action-sale-order-validate","action-sale-order-validate","action","No Sale Order Items. Would you like to continue?","Aucun articles n'a été saisie, Voulez-vous contitnuer ?"
"check-order-dates","check-order-dates","action","Order creation date is in the future.","Date de commande supérieur à la date de création"
"sale.orders","sale.orders","action","Sale Orders","Commande"
"sale.product.categories","sale.product.categories","action","Product Categories","Catégories de produits"
"sale.products","sale.products","action","Products","Produits"
"sale.search","sale.search","action","Sales Search...","Recherche commande..."
"sale.taxes","sale.taxes","action","Taxes","Les Taxes"
